日期,经文,内容,状态
,,,
2020-09-07,Galatians 1:1-5,"【加1:1】作使徒的保罗（不是由于人，也不是藉着人，乃是藉着耶稣基督，与叫他从死里复活的父　神），
【加1:2】和一切与我同在的众弟兄，写信给加拉太的各教会。
【加1:3】愿恩惠、平安从父　神与我们的主耶稣基督归与你们。
【加1:4】基督照我们父　神的旨意为我们的罪舍己，要救我们脱离这罪恶的世代。
【加1:5】但愿荣耀归于　神，直到永永远远。阿们！",⏳进行中...
2020-09-08,Galatians 1:6-10,"【加1:6】我希奇你们这么快离开那藉着基督之恩召你们的，去从别的福音。
【加1:7】那并不是福音，不过有些人搅扰你们，要把基督的福音更改了。
【加1:8】但无论是我们，是天上来的使者，若传福音给你们，与我们所传给你们的不同，他就应当被咒诅。
【加1:9】我们已经说了，现在又说，若有人传福音给你们，与你们所领受的不同，他就应当被咒诅。
【加1:10】我现在是要得人的心呢，还是要得　神的心呢？我岂是讨人的喜欢吗？若仍旧讨人的喜欢，我就不是基督的仆人了。",⏳进行中...
2020-09-09,Galatians 1:11-14,"【加1:11】弟兄们，我告诉你们，我素来所传的福音，不是出于人的意思，
【加1:12】因为我不是从人领受的，也不是人教导我的，乃是从耶稣基督启示来的。
【加1:13】你们听见我从前在犹太教中所行的事，怎样极力逼迫、残害　神的教会。
【加1:14】我又在犹太教中，比我本国许多同岁的人更有长进，为我祖宗的遗传更加热心。",⏳进行中...
2020-09-10,Galatians 1:15-19,"【加1:15】然而那把我从母腹里分别出来、又施恩召我的　神，
【加1:16】既然乐意将他儿子启示在我心里，叫我把他传在外邦人中，我就没有与属血气的人商量，
【加1:17】也没有上耶路撒冷去见那些比我先作使徒的，惟独往阿拉伯去，后又回到大马士革。
【加1:18】过了三年，才上耶路撒冷去见矶法，和他同住了十五天。
【加1:19】至于别的使徒，除了主的兄弟雅各，我都没有看见。",⏳进行中...
2020-09-11,Galatians 1:20-24,"【加1:20】我写给你们的不是谎话，这是我在　神面前说的。
【加1:21】以后我到了叙利亚和基利家境内。
【加1:22】那时，犹太信基督的各教会都没有见过我的面。
【加1:23】不过听说那从前逼迫我们的，现在传扬他原先所残害的真道。
【加1:24】他们就为我的缘故归荣耀给　神。",⏳进行中...
2020-09-12,Galatians 1,,⌛️停休复习
2020-09-13,Galatians 1:1-5,,💒主日休息
2020-09-14,Galatians 1:1-5,"【加1:1】作使徒的保罗（不是由于人，也不是藉着人，乃是藉着耶稣基督，与叫他从死里复活的父　神），
【加1:2】和一切与我同在的众弟兄，写信给加拉太的各教会。
【加1:3】愿恩惠、平安从父　神与我们的主耶稣基督归与你们。
【加1:4】基督照我们父　神的旨意为我们的罪舍己，要救我们脱离这罪恶的世代。
【加1:5】但愿荣耀归于　神，直到永永远远。阿们！",⏳进行中...
2020-09-15,Galatians 1:6-10,"【加1:6】我希奇你们这么快离开那藉着基督之恩召你们的，去从别的福音。
【加1:7】那并不是福音，不过有些人搅扰你们，要把基督的福音更改了。
【加1:8】但无论是我们，是天上来的使者，若传福音给你们，与我们所传给你们的不同，他就应当被咒诅。
【加1:9】我们已经说了，现在又说，若有人传福音给你们，与你们所领受的不同，他就应当被咒诅。
【加1:10】我现在是要得人的心呢，还是要得　神的心呢？我岂是讨人的喜欢吗？若仍旧讨人的喜欢，我就不是基督的仆人了。",⏳进行中...
