日期,经文,内容,状态
2020-07-05,Romans 1:1-2,,💒主日休息
2020-07-06,Romans 1:1-2,"【罗1:1】耶稣基督的仆人保罗，奉召为使徒，特派传　神的福音。
【罗1:2】这福音是　神从前藉众先知在圣经上所应许的。",⏳进行中...
2020-07-07,Romans 1:3-4,"【罗1:3】论到他儿子我主耶稣基督，按肉体说，是从大卫后裔生的；
【罗1:4】按圣善的灵说，因从死里复活，以大能显明是　神的儿子。",⏳进行中...
2020-07-08,Romans 1:5-6,"【罗1:5】我们从他受了恩惠并使徒的职分，在万国之中叫人为他的名信服真道；
【罗1:6】其中也有你们这蒙召属耶稣基督的人。",⏳进行中...
2020-07-09,Romans 1:7-8,"【罗1:7】我写信给你们在罗马为　神所爱、奉召作圣徒的众人。愿恩惠、平安从我们的父　神并主耶稣基督，归与你们！
【罗1:8】第一，我靠着耶稣基督，为你们众人感谢我的　神，因你们的信德传遍了天下。",⏳进行中...
2020-07-10,Romans 1:9-10,"【罗1:9】我在他儿子福音上，用心灵所侍奉的　神，可以见证我怎样不住地提到你们；
【罗1:10】在祷告之间常常恳求，或者照　神的旨意，终能得平坦的道路往你们那里去。",⏳进行中...
2020-07-11,Romans 1:11-12,"【罗1:11】因为我切切地想见你们，要把些属灵的恩赐分给你们，使你们可以坚固。
【罗1:12】这样，我在你们中间，因你与我彼此的信心，就可以同得安慰。",⏳进行中...
2020-07-12,Romans 1:13,,💒主日休息
2020-07-13,Romans 1:13,【罗1:13】弟兄们，我不愿意你们不知道，我屡次定意往你们那里去，要在你们中间得些果子，如同在其余的外邦人中一样，只是到如今仍有阻隔。,⏳进行中...
2020-07-14,Romans 1:14-15,"【罗1:14】无论是希腊人、化外人、聪明人、愚拙人，我都欠他们的债，
【罗1:15】所以情愿尽我的力量，将福音也传给你们在罗马的人。",⏳进行中...
2020-07-15,Romans 1:16-17,"【罗1:16】我不以福音为耻；这福音本是　神的大能，要救一切相信的，先是犹太人，后是希腊人。
【罗1:17】因为　神的义正在这福音上显明出来；这义是本于信，以致于信。如经上所记：“义人必因信得生。”",⏳进行中...
2020-07-16,Romans 1:18-20,"【罗1:18】原来，　神的忿怒，从天上显明在一切不虔不义的人身上，就是那些行不义阻挡真理的人。
【罗1:19】　神的事情，人所能知道的，原显明在人心里，因为　神已经给他们显明。
【罗1:20】自从造天地以来，　神的永能和神性是明明可知的，虽是眼不能见，但藉着所造之物就可以晓得，叫人无可推诿。",⏳进行中...
2020-07-17,Romans 1:21-23,"【罗1:21】因为，他们虽然知道　神，却不当作　神荣耀他，也不感谢他。他们的思念变为虚妄，无知的心就昏暗了。
【罗1:22】自称为聪明，反成了愚拙；
【罗1:23】将不能朽坏之　神的荣耀变为偶像，仿佛必朽坏的人和飞禽、走兽、昆虫的样式。",⏳进行中...
2020-07-18,Romans 1:24-25,"【罗1:24】所以，　神任凭他们逞着心里的情欲行污秽的事，以致彼此玷辱自己的身体。
【罗1:25】他们将　神的真实变为虚谎，去敬拜侍奉受造之物，不敬奉那造物的主。主乃是可称颂的，直到永远。阿们！",⏳进行中...
2020-07-19,Romans 1:26-27,,💒主日休息
2020-07-20,Romans 1:26-27,"【罗1:26】因此，　神任凭他们放纵可羞耻的情欲。他们的女人把顺性的用处变为逆性的用处；
【罗1:27】男人也是如此，弃了女人顺性的用处，欲火攻心，彼此贪恋，男和男行可羞耻的事，就在自己身上受这妄为当得的报应。",⏳进行中...
2020-07-21,Romans 1:28-29,"【罗1:28】他们既然故意不认识　神，　神就任凭他们存邪僻的心，行那些不合理的事；
【罗1:29】装满了各样不义、邪恶、贪婪、恶毒（或作“阴毒”），满心是嫉妒、凶杀、争竞、诡诈、毒恨，",⏳进行中...
2020-07-22,Romans 1:30-32,"【罗1:30】又是谗毁的、背后说人的、怨恨　神的（或作“被　神所憎恶的”）、侮慢人的、狂傲的、自夸的、捏造恶事的、违背父母的、
【罗1:31】无知的、背约的、无亲情的、不怜悯人的。
【罗1:32】他们虽知道　神判定行这样事的人是当死的，然而他们不但自己去行，还喜欢别人去行。",⏳进行中...
2020-07-23,Romans 2:1-2,"【罗2:1】你这论断人的，无论你是谁，也无可推诿。你在什么事上论断人，就在什么事上定自己的罪。因你这论断人的，自己所行却和别人一样。
【罗2:2】我们知道这样行的人，　神必照真理审判他。",⏳进行中...
2020-07-24,Romans 2:3-4,"【罗2:3】你这人哪，你论断行这样事的人，自己所行的却和别人一样，你以为能逃脱　神的审判吗？
【罗2:4】还是你藐视他丰富的恩慈、宽容、忍耐，不晓得他的恩慈是领你悔改呢？",⏳进行中...
2020-07-25,Romans 2:5-6,"【罗2:5】你竟任着你刚硬不悔改的心，为自己积蓄忿怒，以致　神震怒，显他公义审判的日子来到。
【罗2:6】他必照各人的行为报应各人。",⏳进行中...
2020-07-26,Romans 2:7-8,,💒主日休息
2020-07-27,Romans 2:7-8,"【罗2:7】凡恒心行善，寻求荣耀、尊贵和不能朽坏之福的，就以永生报应他们；
【罗2:8】惟有结党不顺从真理，反顺从不义的，就以忿怒、恼恨报应他们。",⏳进行中...
2020-07-28,Romans 2:9-10,"【罗2:9】将患难、困苦加给一切作恶的人，先是犹太人，后是希腊人；
【罗2:10】却将荣耀、尊贵、平安加给一切行善的人，先是犹太人，后是希腊人。",⏳进行中...
2020-07-29,Romans 2:11-12,"【罗2:11】因为　神不偏待人。
【罗2:12】凡没有律法犯了罪的，也必不按律法灭亡；凡在律法以下犯了罪的，也必按律法受审判。",⏳进行中...
2020-07-30,Romans 2:13-14,"【罗2:13】（原来在　神面前，不是听律法的为义，乃是行律法的称义。
【罗2:14】没有律法的外邦人若顺着本性行律法上的事，他们虽然没有律法，自己就是自己的律法。",⏳进行中...
2020-07-31,Romans 2:15-16,"【罗2:15】这是显出律法的功用刻在他们心里，他们是非之心同作见证，并且他们的思念互相较量，或以为是，或以为非。）
【罗2:16】就在　神藉耶稣基督审判人隐秘事的日子，照着我的福音所言。",⏳进行中...
2020-08-01,Romans 2:17-18,"【罗2:17】你称为犹太人，又倚靠律法，且指着　神夸口；
【罗2:18】既从律法中受了教训，就晓得　神的旨意，也能分别是非（或作“也喜爱那美好的事”）；",⏳进行中...
2020-08-02,Romans 2:19-20,,💒主日休息
2020-08-03,Romans 2:19-20,"【罗2:19】又深信自己是给瞎子领路的，是黑暗中人的光，
【罗2:20】是蠢笨人的师傅，是小孩子的先生，在律法上有知识和真理的模范。",⏳进行中...
2020-08-04,Romans 2:21-22,"【罗2:21】你既是教导别人，还不教导自己吗？你讲说人不可偷窃，自己还偷窃吗？
【罗2:22】你说人不可奸淫，自己还奸淫吗？你厌恶偶像，自己还偷窃庙中之物吗？",⏳进行中...
2020-08-05,Romans 2:23-24,"【罗2:23】你指着律法夸口，自己倒犯律法玷辱　神吗？
【罗2:24】　神的名在外邦人中，因你们受了亵渎，正如经上所记的。",⏳进行中...
2020-08-06,Romans 2:25-27,"【罗2:25】你若是行律法的，割礼固然于你有益；若是犯律法的，你的割礼就算不得割礼。
【罗2:26】所以那未受割礼的，若遵守律法的条例，他虽然未受割礼，岂不算是有割礼吗？
【罗2:27】而且那本来未受割礼的，若能全守律法，岂不是要审判你这有仪文和割礼竟犯律法的人吗？",⏳进行中...
2020-08-07,Romans 2:28-29,"【罗2:28】因为外面作犹太人的，不是真犹太人；外面肉身的割礼，也不是真割礼。
【罗2:29】惟有里面作的，才是真犹太人；真割礼也是心里的，在乎灵，不在乎仪文。这人的称赞不是从人来的，乃是从　神来的。",⏳进行中...
2020-08-08,Romans 3:1-2,"【罗3:1】这样说来，犹太人有什么长处，割礼有什么益处呢？
【罗3:2】凡事大有好处，第一是　神的圣言交托他们。",⏳进行中...
2020-08-09,Romans 3:3-4,,💒主日休息
